,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
922,Fonebox Retail,613.3 x Oversubscribed,"₹132,000",2000,₹192.1 M - ₹203.7 M,2.9 M,₹66 - ₹70,71.64 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,NSE: FONEBOX
923,delaPlex,165.2 x Oversubscribed,"₹111,600",600,₹446.4 M - ₹460.8 M,2.4 M,₹186 - ₹192,73.66 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: DELAPLEX
924,DocMode Health,201.88 x Oversubscribed,"₹126,400",1600,₹67.1 M,849.6 K,₹79,47.44 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,NSE: DHTL
925,Nova Agritech,109.37 x Oversubscribed,"₹14,235",365,"₹1,368.0 M - ₹1,438.1 M",35.1 M,₹39 - ₹41,51 %,SECTOR : FERTILIZERS,INDUSTRY : FERTILIZERS,NSE: NOVAAGRI | BSE: 544100
926,Brisk Technovision,44.8 x Oversubscribed,"₹124,800",800,₹124.8 M,800.0 K,₹156,59.99 %,SECTOR : HARDWARE TECHNOLOGY & EQUIPMENT,INDUSTRY : COMPUTER HARDWARE,BSE: 544101
927,Konstelec Engineers,317.87 x Oversubscribed,"₹132,000",2000,₹270.6 M - ₹287.0 M,4.1 M,₹66 - ₹70,66.77 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: KONSTELEC
928,Addictive Learning,245.34 x Oversubscribed,"₹130,000",1000,₹558.6 M - ₹601.6 M,4.3 M,₹130 - ₹140,66.07 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,NSE: LAWSIKHO
929,EPACK Durables,16.37 x Oversubscribed,"₹14,170",65,"₹6,066.6 M - ₹6,400.5 M",27.8 M,₹218 - ₹230,42.6 %,SECTOR : CONSUMER DURABLES,INDUSTRY : CONSUMER ELECTRONICS,NSE: EPACK | BSE: 544095
930,Euphoria Infotech,364.71 x Oversubscribed,"₹115,200",1200,₹92.2 M - ₹96.0 M,960.0 K,₹96 - ₹100,63.64 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 544094
931,Qualitek Labs,56.01 x Oversubscribed,"₹120,000",1200,₹196.4 M,2.0 M,₹100,73.35 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,BSE: 544091 | ASM
932,Medi Assist Healthcare,16.25 x Oversubscribed,"₹13,895",35,"₹11,127.2 M - ₹11,715.8 M",28.0 M,₹397 - ₹418,36.44 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: MEDIASSIST | BSE: 544088
933,Maxposure,904.86 x Oversubscribed,"₹124,000",4000,₹190.3 M - ₹202.6 M,6.1 M,₹31 - ₹33,61.56 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,NSE: MAXPOSURE
934,Shree Marutinandan Tubes,44.86 x Oversubscribed,"₹143,000",1000,₹143.0 M,1.0 M,₹143,58.3 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,BSE: 544083
935,Australian Premium Solar,431.82 x Oversubscribed,"₹102,000",2000,₹265.2 M - ₹280.8 M,5.2 M,₹51 - ₹54,73.64 %,SECTOR : UTILITIES,INDUSTRY : POWER - ELECTRIC UTILITIES,NSE: APS
936,New Swan Multitech,356.91 x Oversubscribed,"₹124,000",2000,₹311.0 M - ₹331.1 M,5.0 M,₹62 - ₹66,73.62 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,BSE: 544082
937,Jyoti CNC Automation,38.53 x Oversubscribed,"₹14,175",45,"₹9,516.6 M - ₹10,000.0 M",30.2 M,₹315 - ₹331,62.55 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: JYOTICNC | BSE: 544081
938,IBL Finance,16.18 x Oversubscribed,"₹102,000",2000,₹334.0 M,6.5 M,₹51,62.89 %,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCE (INCLUDING NBFCS),NSE: IBLFL
939,Kaushalya Logistics,364.18 x Oversubscribed,"₹113,600",1600,₹346.5 M - ₹366.0 M,4.9 M,₹71 - ₹75,81.75 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: KLL
940,Kay Cee Energy,959.53 x Oversubscribed,"₹102,000",2000,₹150.4 M - ₹159.3 M,3.0 M,₹51 - ₹54,70.26 %,SECTOR : UTILITIES,INDUSTRY : POWER - ELECTRIC UTILITIES,NSE: KCEIL
941,Akanksha Power,108.93 x Oversubscribed,"₹104,000",2000,₹259.9 M - ₹274.9 M,5.0 M,₹52 - ₹55,60.81 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: AKANKSHA
942,HRH Next Services,62 x Oversubscribed,"₹108,000",3000,₹95.7 M,2.7 M,₹36,66.26 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : BPO/KPO,NSE: HRHNEXT
943,Shri Balaji Valve,276.52 x Oversubscribed,"₹114,000",1200,₹205.2 M - ₹216.0 M,2.2 M,₹95 - ₹100,73.53 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL GOODS,BSE: 544074
944,Manoj Ceramic,8.6 x Oversubscribed,"₹124,000",2000,₹144.7 M,2.3 M,₹62,71.67 %,SECTOR : CONSUMER DURABLES,INDUSTRY : CERAMICS,BSE: 544073
945,AIK Pipes,41.43 x Oversubscribed,"₹142,400",1600,₹150.2 M,1.7 M,₹89,73.47 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,BSE: 544072
946,Sameera Agro,2.82 x Oversubscribed,"₹144,000",800,₹626.4 M,3.5 M,₹180,69 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: SAIFL
947,Monika Alcobev,3.78 x Oversubscribed,"₹216,800",400,"₹1,569.4 M - ₹1,656.3 M",5.8 M,₹271 - ₹286,57.44 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : BREWERIES & DISTILLERIES,BSE: 544451
948,Anthem Biosciences,63.86 x Oversubscribed,"₹14,040",26,"₹32,163.2 M - ₹33,950.0 M",59.6 M,₹540 - ₹570,66.27 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: ANTHEM | BSE: 544449
949,Spunweb Nonwoven,233.35 x Oversubscribed,"₹216,000",1200,₹571.6 M - ₹609.8 M,6.4 M,₹90 - ₹96,65.18 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: SPUNWEB
950,Smartworks Coworking Spaces,13.45 x Oversubscribed,"₹13,932",36,"₹5,539.3 M - ₹5,825.6 M",14.3 M,₹387 - ₹407,55.99 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : SPECIAL CONSUMER SERVICES,NSE: SMARTWORKS | BSE: 544447
951,Asston Pharmaceuticals,173.53 x Oversubscribed,"₹230,000",1000,₹257.7 M - ₹275.6 M,2.2 M,₹115 - ₹123,50.66 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,BSE: 544445
952,GLEN Industries,242.32 x Oversubscribed,"₹220,800",1200,₹597.7 M - ₹630.2 M,6.5 M,₹92 - ₹97,73 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,BSE: 544444
953,Travel Food Services,2.88 x Oversubscribed,"₹13,585",13,"₹19,000.0 M - ₹20,000.0 M",18.2 M,₹1045 - ₹1100,86.19 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : RESTAURANTS,NSE: TRAVELFOOD | BSE: 544443
954,Chemkart,5.56 x Oversubscribed,"₹283,200",600,₹762.1 M - ₹800.8 M,3.2 M,₹236 - ₹248,73.31 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,BSE: 544442
955,Smarten Power Systems,5.26 x Oversubscribed,"₹240,000",1200,₹500.0 M,5.0 M,₹100,67.1 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: SMARTEN
956,Meta Infotech,155.28 x Oversubscribed,"₹244,800",800,₹761.9 M - ₹801.8 M,5.0 M,₹153 - ₹161,68.9 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 544441
957,Happy Square Outsourcing,3.26 x Oversubscribed,"₹230,400",1600,₹229.7 M - ₹242.5 M,3.2 M,₹72 - ₹76,60.9 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: WHITEFORCE
958,Cryogenic OGS,646.47 x Oversubscribed,"₹264,000",3000,₹166.3 M - ₹177.7 M,3.8 M,₹44 - ₹47,73.53 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,BSE: 544440
959,Crizac,59.82 x Oversubscribed,"₹14,213",61,"₹8,178.8 M - ₹8,600.0 M",35.1 M,₹233 - ₹245,79.94 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,NSE: CRIZAC | BSE: 544439
960,Cedaar Textile,11.25 x Oversubscribed,"₹130,000",1000,₹565.5 M - ₹609.0 M,4.3 M,₹130 - ₹140,68.66 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: CEDAAR
961,Silky Overseas,132.85 x Oversubscribed,"₹122,400",800,₹291.6 M - ₹306.8 M,1.9 M,₹153 - ₹161,60.53 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: SILKY
962,Pushpa Jewellers,2.37 x Oversubscribed,"₹143,000",1000,₹959.7 M - ₹986.5 M,6.7 M,₹143 - ₹147,72.29 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: PUSHPA
963,Marc Loire Fashions,2.53 x Oversubscribed,"₹120,000",1200,₹210.0 M,2.1 M,₹100,70.42 %,SECTOR : RETAILING,INDUSTRY : FOOTWEAR,BSE: 544437
964,Vandan Foods,1.71 x Oversubscribed,"₹138,000",1200,₹303.6 M,2.6 M,₹115,66.42 %,SECTOR : FMCG,INDUSTRY : EDIBLE OILS,BSE: 544436
965,Neetu Yoshi,119.19 x Oversubscribed,"₹113,600",1600,₹729.3 M - ₹770.4 M,10.3 M,₹71 - ₹75,70.03 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : CASTINGS & FORGINGS,BSE: 544434
966,Adcounty Media,251.7 x Oversubscribed,"₹128,000",1600,₹477.1 M - ₹506.9 M,6.0 M,₹80 - ₹85,65.52 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,BSE: 544435
967,Indogulf Cropsciences,25.98 x Oversubscribed,"₹14,175",135,"₹1,891.9 M - ₹2,000.0 M",18.0 M,₹105 - ₹111,69.07 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : AGROCHEMICALS,NSE: IGCL | BSE: 544432
968,Ace Alpha Tech,93.81 x Oversubscribed,"₹130,000",2000,₹303.6 M - ₹322.2 M,4.7 M,₹65 - ₹69,38.14 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 544431
969,PRO FX Tech,23.65 x Oversubscribed,"₹131,200",1600,₹379.8 M - ₹403.0 M,4.6 M,₹82 - ₹87,50.3 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : DISTRIBUTORS,NSE: PROFX
970,Valencia,1.27 x Oversubscribed,"₹114,000",1200,₹422.7 M - ₹489.5 M,4.4 M,₹95 - ₹110,56.54 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,BSE: 544433
971,Moving Media Entertainment,50.76 x Oversubscribed,"₹132,000",2000,₹409.2 M - ₹434.0 M,6.2 M,₹66 - ₹70,57.36 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: MMEL
972,Sambhv Steel Tubes,28.46 x Oversubscribed,"₹14,014",182,"₹5,070.7 M - ₹5,400.0 M",65.9 M,₹77 - ₹82,54.69 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: SAMBHV | BSE: 544430 | ASM
973,HDB Financial Services,16.69 x Oversubscribed,"₹14,000",20,"₹118,243.2 M - ₹125,000.0 M",168.9 M,₹700 - ₹740,74.19 %,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCE (INCLUDING NBFCS),NSE: HDBFS | BSE: 544429
974,Suntech Infra Solutions,208.01 x Oversubscribed,"₹129,600",1600,₹418.1 M - ₹443.9 M,5.2 M,₹81 - ₹86,68.71 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: SUNTECH
975,Supertech EV,4.23 x Oversubscribed,"₹104,400",1200,₹282.7 M - ₹299.0 M,3.2 M,₹87 - ₹92,69.31 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : 2/3 WHEELERS,BSE: 544428
976,Rama Telecom,1.58 x Oversubscribed,"₹130,000",2000,₹240.2 M - ₹251.3 M,3.7 M,₹65 - ₹68,71.28 %,SECTOR : TELECOM SERVICES,INDUSTRY : OTHER TELECOM SERVICES,NSE: RTL
977,Kalpataru,2.26 x Oversubscribed,"₹13,932",36,"₹14,863.0 M - ₹15,900.0 M",38.4 M,₹387 - ₹414,81.35 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: KALPATARU | BSE: 544423
978,Ellenbarrie Industrial Gases,22.19 x Oversubscribed,"₹14,060",37,"₹8,099.0 M - ₹8,525.3 M",21.3 M,₹380 - ₹400,81.59 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL GASES,NSE: ELLEN | BSE: 544421
979,Globe Civil Projects,86.04 x Oversubscribed,"₹14,137",211,"₹1,123.0 M - ₹1,190.0 M",16.8 M,₹67 - ₹71,63.41 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: GLOBECIVIL | BSE: 544424
980,AJC Jewel Manufacturers,2.7 x Oversubscribed,"₹108,000",1200,₹145.8 M - ₹153.9 M,1.6 M,₹90 - ₹95,56.33 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 544425
981,Shri HareKrishna Sponge Iron,6.43 x Oversubscribed,"₹112,000",2000,₹283.9 M - ₹299.1 M,5.1 M,₹56 - ₹59,73.58 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL/INTERM.PRODUCTS,NSE: SHKSIL
982,Icon Facilitators,2.42 x Oversubscribed,"₹102,000",1200,₹178.5 M - ₹191.1 M,2.1 M,₹85 - ₹91,70.09 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,BSE: 544426
983,Abram Food,27.15 x Oversubscribed,"₹117,600",1200,₹139.9 M,1.4 M,₹98,67.33 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,BSE: 544422
984,Mayasheel Ventures,216.5 x Oversubscribed,"₹132,000",3000,₹255.4 M - ₹272.8 M,5.8 M,₹44 - ₹47,67.76 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : ROADS & HIGHWAYS,NSE: MAYASHEEL
985,Safe Enterprises Retail,13.73 x Oversubscribed,"₹131,000",1000,"₹1,611.3 M - ₹1,697.4 M",12.3 M,₹131 - ₹138,73.59 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: SAFEENTP
986,Aakaar Medical Technologies,2.19 x Oversubscribed,"₹108,800",1600,₹255.0 M - ₹270.0 M,3.8 M,₹68 - ₹72,67.01 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : MEDICAL EQUIPMENT,NSE: AAKAAR
987,Arisinfra Solutions,2.65 x Oversubscribed,"₹14,070",67,"₹4,725.9 M - ₹4,996.0 M",22.5 M,₹210 - ₹222,37.93 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION MATERIALS,NSE: ARISINFRA | BSE: 544419
988,Influx Healthtech,187.32 x Oversubscribed,"₹109,200",1200,₹555.2 M - ₹585.7 M,6.1 M,₹91 - ₹96,73.53 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: INFLUX
989,Eppeltone Engineers,275.66 x Oversubscribed,"₹125,000",1000,₹429.3 M - ₹439.6 M,3.4 M,₹125 - ₹128,61.51 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: EEPL
990,Samay Project Services,27.03 x Oversubscribed,"₹128,000",4000,₹138.2 M - ₹146.9 M,4.3 M,₹32 - ₹34,69.19 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: SAMAY
991,Patil Automation,94.34 x Oversubscribed,"₹136,800",1200,₹661.3 M - ₹696.1 M,5.8 M,₹114 - ₹120,69.29 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: PATILAUTOM
992,Oswal Pumps,34.42 x Oversubscribed,"₹14,016",24,"₹13,195.5 M - ₹13,873.4 M",22.6 M,₹584 - ₹614,80.07 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : COMPRESSORS & PUMPS,NSE: OSWALPUMPS | BSE: 544418
993,Aten Papers and Foam,1.47 x Oversubscribed,"₹109,200",1200,₹300.3 M - ₹316.8 M,3.3 M,₹91 - ₹96,67.96 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : PAPER & PAPER PRODUCTS,BSE: 544417
994,Monolithisch India,170.12 x Oversubscribed,"₹135,000",1000,₹774.4 M - ₹820.2 M,5.7 M,₹135 - ₹143,73.61 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : ELECTRODES & REFRACTORIES,NSE: MONOLITH
995,Jainik Power Cables,1.52 x Oversubscribed,"₹120,000",1200,₹466.3 M - ₹513.0 M,4.7 M,₹100 - ₹110,67.36 %,SECTOR : METALS & MINING,INDUSTRY : ALUMINIUM AND ALUMINIUM PRODUCTS,NSE: JAINIK
996,Sacheerome,291.11 x Oversubscribed,"₹115,200",1200,₹579.9 M - ₹616.2 M,6.0 M,₹96 - ₹102,71.54 %,SECTOR : FMCG,INDUSTRY : PERSONAL PRODUCTS,NSE: SACHEEROME
997,Ganga Bath Fittings,1.61 x Oversubscribed,"₹138,000",3000,₹306.5 M - ₹326.5 M,6.7 M,₹46 - ₹49,69.16 %,SECTOR : CONSUMER DURABLES,INDUSTRY : HOUSEHOLD APPLIANCES,NSE: GANGABATH
998,3B Films,1.76 x Oversubscribed,"₹150,000",3000,₹337.5 M,6.8 M,₹50,69.97 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,BSE: 544412
999,Scoda Tubes,53.78 x Oversubscribed,"₹13,000",100,"₹2,042.9 M - ₹2,200.0 M",15.7 M,₹130 - ₹140,66.43 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: SCODATUBES | BSE: 544411
1000,Neptune Petrochemicals,3.89 x Oversubscribed,"₹115,000",1000,₹690.0 M - ₹732.0 M,6.0 M,₹115 - ₹122,69.33 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : PETROCHEMICALS,NSE: NEPTUNE
1001,N R Vandana Tex Industries,93.96 x Oversubscribed,"₹126,000",3000,₹260.3 M - ₹278.9 M,6.2 M,₹42 - ₹45,73.39 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: NRVANDANA
1002,Prostarm Info Systems,97.2 x Oversubscribed,"₹13,490",142,"₹1,520.0 M - ₹1,680.0 M",16.0 M,₹95 - ₹105,72.82 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: PROSTARM | BSE: 544410 | ASM
1003,Blue Water Logistics,8.76 x Oversubscribed,"₹132,000",1000,₹396.0 M - ₹405.0 M,3.0 M,₹132 - ₹135,69.55 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: BLUEWATER
1004,Nikita Papers,1.4 x Oversubscribed,"₹114,000",1200,₹617.0 M - ₹675.4 M,6.5 M,₹95 - ₹104,59.22 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : PAPER & PAPER PRODUCTS,NSE: NIKITA
1005,Astonea Labs,2.44 x Oversubscribed,"₹128,000",1000,₹357.1 M - ₹376.6 M,2.8 M,₹128 - ₹135,72.3 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,BSE: 544409
1006,Schloss Bangalore,4.5 x Oversubscribed,"₹14,042",34,"₹33,229.9 M - ₹35,000.0 M",80.5 M,₹413 - ₹435,54.92 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,NSE: THELEELA | BSE: 544408
1007,Aegis Vopak Terminals,2.09 x Oversubscribed,"₹14,049",63,"₹28,000.0 M - ₹29,506.7 M",125.6 M,₹223 - ₹235,86.43 %,SECTOR : TRANSPORTATION,INDUSTRY : MARINE PORT & SERVICES,NSE: AEGISVOPAK | BSE: 544407
1008,Unified Data Tech Solutions,84.92 x Oversubscribed,"₹104,000",400,"₹1,375.9 M - ₹1,444.7 M",5.3 M,₹260 - ₹273,60.39 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 544406
1009,Belrise Industries,41.3 x Oversubscribed,"₹14,110",166,"₹21,500.0 M - ₹22,764.7 M",252.9 M,₹85 - ₹90,71.88 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: BELRISE | BSE: 544405
1010,Dar Credit Capital,98.67 x Oversubscribed,"₹114,000",2000,₹243.7 M - ₹256.6 M,4.3 M,₹57 - ₹60,68.98 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: DCCL
1011,Borana Weaves,148.78 x Oversubscribed,"₹14,145",69,"₹1,375.1 M - ₹1,448.9 M",6.7 M,₹205 - ₹216,65.24 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: BORANA | BSE: 544404
1012,Accretion Pharmaceuticals,7.32 x Oversubscribed,"₹115,200",1200,₹282.8 M - ₹297.5 M,2.9 M,₹96 - ₹101,73.5 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: ACCPL
1013,Integrity Infrabuild,2.11 x Oversubscribed,"₹120,000",1200,₹120.0 M,1.2 M,₹100,72.09 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : ROADS & HIGHWAYS,NSE: INTEGRITY
1014,Virtual Galaxy Infotech,215.08 x Oversubscribed,"₹135,000",1000,₹887.0 M - ₹932.9 M,6.6 M,₹135 - ₹142,64.72 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: VGINFOTECH
1015,Manoj Jewellers,1.13 x Oversubscribed,"₹108,000",2000,₹162.0 M,3.0 M,₹54,63.27 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 544400
1016,Srigee DLM,456.8 x Oversubscribed,"₹112,800",1200,₹161.2 M - ₹169.8 M,1.7 M,₹94 - ₹99,71.29 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,BSE: 544399
1017,Kenrik Industries,1.95 x Oversubscribed,"₹150,000",6000,₹87.5 M,3.5 M,₹25,72.01 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 544398
1018,Arunaya Organics,2.45 x Oversubscribed,"₹110,000",2000,₹322.3 M - ₹339.9 M,5.9 M,₹55 - ₹58,60.79 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : DYES & PIGMENTS,NSE: ARUNAYA
1019,Ather Energy,1.43 x Oversubscribed,"₹13,984",46,"₹28,229.0 M - ₹29,807.6 M",92.9 M,₹304 - ₹321,39.65 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : 2/3 WHEELERS,NSE: ATHERENERG | BSE: 544397
1020,Iware Supplychain Services,2.86 x Oversubscribed,"₹114,000",1200,₹271.3 M,2.9 M,₹95,73.35 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: IWARE
1021,Tankup Engineers,116.17 x Oversubscribed,"₹133,000",1000,₹185.5 M - ₹195.3 M,1.4 M,₹133 - ₹140,73.65 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: TANKUP
1022,Infonative Solutions,4.35 x Oversubscribed,"₹120,000",1600,₹234.6 M - ₹247.1 M,3.1 M,₹75 - ₹79,69.28 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,BSE: 544393
1023,Spinaroo Commercial,1.49 x Oversubscribed,"₹102,000",2000,₹101.7 M,2.0 M,₹51,47.66 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : PAPER & PAPER PRODUCTS,BSE: 544392
1024,Retaggio Industries,1.78 x Oversubscribed,"₹150,000",6000,₹155.0 M,6.2 M,₹25,60.18 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 544391
1025,Identixweb,24.4 x Oversubscribed,"₹102,000",2000,₹157.1 M - ₹166.3 M,3.1 M,₹51 - ₹54,62.99 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 544388
1026,Shri Ahimsa Naturals,58.38 x Oversubscribed,"₹135,600",1200,₹700.9 M - ₹738.1 M,6.2 M,₹113 - ₹119,68.68 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : TEA & COFFEE,NSE: SHRIAHIMSA
1027,ATC Energies System,1.58 x Oversubscribed,"₹134,400",1200,₹605.2 M - ₹637.6 M,5.4 M,₹112 - ₹118,72.06 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: ATCENERGY
1028,Desco Infratech,77.74 x Oversubscribed,"₹147,000",1000,₹301.4 M - ₹307.5 M,2.0 M,₹147 - ₹150,58.12 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 544387
1029,Active Infrastructures,1.05 x Oversubscribed,"₹106,800",600,₹765.4 M - ₹778.3 M,4.3 M,₹178 - ₹181,71.36 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: ACTIVEINFR
